temps,hr,speed,altitude,distance,activity_type,1,,cadence,1,,power,1,,accumulated_power,1,,step_length,1,,,,,,,
1,159,4.158,1827.0,34.5,activity_type,1,,cadence,84,rpm,power,127,watts,accumulated_power,377,watts,step_length,1490.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.158,m/s
2,160,4.25,1827.0,39.0,activity_type,1,,cadence,84,rpm,power,130,watts,accumulated_power,507,watts,step_length,1520.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.25,m/s
3,160,4.314,1827.0,44.0,activity_type,1,,cadence,84,rpm,power,199,watts,accumulated_power,706,watts,step_length,1540.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.314,m/s
4,161,4.378,1827.0,49.0,activity_type,1,,cadence,84,rpm,power,268,watts,accumulated_power,974,watts,step_length,1560.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.378,m/s
5,161,4.364,1826.0,53.0,activity_type,1,,cadence,84,rpm,power,267,watts,accumulated_power,1241,watts,step_length,1550.0,mm,enhanced_altitude,1826.0,m,enhanced_speed,4.364,m/s
6,161,4.35,1826.0,57.0,activity_type,1,,cadence,85,rpm,power,266,watts,accumulated_power,1507,watts,step_length,1550.0,mm,enhanced_altitude,1826.0,m,enhanced_speed,4.35,m/s
7,161,4.336,1826.0,61.0,activity_type,1,,cadence,85,rpm,power,265,watts,accumulated_power,1772,watts,step_length,1540.0,mm,enhanced_altitude,1826.0,m,enhanced_speed,4.336,m/s
8,161,4.325,1826.0,65.0,activity_type,1,,cadence,85,rpm,power,264,watts,accumulated_power,2036,watts,step_length,1530.0,mm,enhanced_altitude,1826.0,m,enhanced_speed,4.325,m/s
9,163,4.264,1826.0,69.0,activity_type,1,,cadence,84,rpm,power,272,watts,accumulated_power,2308,watts,step_length,1510.0,mm,enhanced_altitude,1826.0,m,enhanced_speed,4.264,m/s
10,163,4.203,1825.0,73.0,activity_type,1,,cadence,84,rpm,power,281,watts,accumulated_power,2589,watts,step_length,1490.0,mm,enhanced_altitude,1825.0,m,enhanced_speed,4.203,m/s
11,164,4.175,1825.0,77.5,activity_type,1,,cadence,84,rpm,power,279,watts,accumulated_power,2868,watts,step_length,1480.0,mm,enhanced_altitude,1825.0,m,enhanced_speed,4.175,m/s
12,164,4.15,1825.0,82.0,activity_type,1,,cadence,84,rpm,power,277,watts,accumulated_power,3145,watts,step_length,1470.0,mm,enhanced_altitude,1825.0,m,enhanced_speed,4.15,m/s
13,164,4.128,1825.0,85.5,activity_type,1,,cadence,83,rpm,power,276,watts,accumulated_power,3421,watts,step_length,1460.0,mm,enhanced_altitude,1825.0,m,enhanced_speed,4.128,m/s
14,164,4.106,1825.0,89.0,activity_type,1,,cadence,83,rpm,power,275,watts,accumulated_power,3696,watts,step_length,1460.0,mm,enhanced_altitude,1825.0,m,enhanced_speed,4.106,m/s
15,165,4.081,1825.0,93.0,activity_type,1,,cadence,83,rpm,power,273,watts,accumulated_power,3969,watts,step_length,1450.0,mm,enhanced_altitude,1825.0,m,enhanced_speed,4.081,m/s
16,164,4.058,1825.0,97.0,activity_type,1,,cadence,83,rpm,power,271,watts,accumulated_power,4240,watts,step_length,1450.0,mm,enhanced_altitude,1825.0,m,enhanced_speed,4.058,m/s
17,164,4.05,1825.0,101.5,activity_type,1,,cadence,83,rpm,power,270,watts,accumulated_power,4510,watts,step_length,1440.0,mm,enhanced_altitude,1825.0,m,enhanced_speed,4.05,m/s
18,165,4.042,1825.0,106.0,activity_type,1,,cadence,83,rpm,power,270,watts,accumulated_power,4780,watts,step_length,1440.0,mm,enhanced_altitude,1825.0,m,enhanced_speed,4.042,m/s
