temps,fc,vitesse,altitude,distance,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber
1,146,1.213000059,1851,1.639999986,146,1.213000059,57,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
2,144,2.66899991,1851.199951,14.56999969,144,2.66899991,57,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
3,142,3.387000084,1851.800049,30.82999992,142,3.387000084,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
4,144,3.601999998,1851.599976,53.95000076,144,3.601999998,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
5,144,3.619999886,1851.599976,57.65000153,144,3.619999886,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
6,147,3.517999887,1851.599976,68.37999725,147,3.517999887,82,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
7,148,3.601999998,1852,79.61000061,148,3.601999998,82,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
8,148,3.619999886,1852.199951,86.55000305,148,3.619999886,82,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
9,149,3.648000002,1851.599976,99.08000183,149,3.648000002,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
10,149,3.937999964,1851.400024,121.0800018,149,3.937999964,82,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
